cell ,,,,,,,,,,,cell ,,,,,,,,,,,cell ,,,,,,,,,,cell ,,,,,,,,cell ,,,,,,cell ,,,,,,,,cell ,,,,,,,,,cell ,,,,,,,,
1,,,,,,,,,,,2,,,,,,,,,,,3,,,,,,,,,,4,,,,,,,,5,,,,,,6,,,,,,,,7,,,,,,,,,8,,,,,,,,
Cell_01_0031_SpTimes,Cell_01_0032_SpTimes,Cell_01_0033_SpTimes,Cell_01_0034_SpTimes,Cell_01_0035_SpTimes,Cell_01_0036_SpTimes,Cell_01_0037_SpTimes,Cell_01_0038_SpTimes,Cell_01_0039_SpTimes,Cell_01_0040_SpTimes,,Cell_01_0041_SpTimes,Cell_01_0042_SpTimes,Cell_01_0043_SpTimes,Cell_01_0044_SpTimes,Cell_01_0045_SpTimes,Cell_01_0046_SpTimes,Cell_01_0047_SpTimes,Cell_01_0048_SpTimes,Cell_01_0049_SpTimes,Cell_01_0050_SpTimes,,Cell_01_0101_SpTimes,Cell_01_0102_SpTimes,Cell_01_0103_SpTimes,Cell_01_0105_SpTimes,Cell_01_0106_SpTimes,Cell_01_0107_SpTimes,Cell_01_0108_SpTimes,Cell_01_0109_SpTimes,Cell_01_0110_SpTimes,,Cell_01_0111_SpTimes,Cell_01_0112_SpTimes,Cell_01_0113_SpTimes,Cell_01_0115_SpTimes,Cell_01_0116_SpTimes,Cell_01_0117_SpTimes,Cell_01_0118_SpTimes,,Cell_01_0003_SpTimes,Cell_01_0005_SpTimes,Cell_01_0006_SpTimes,Cell_01_0008_SpTimes,Cell_01_0009_SpTimes,,Cell_01_0101_SpTimes,Cell_01_0102_SpTimes,Cell_01_0103_SpTimes,Cell_01_0106_SpTimes,Cell_01_0107_SpTimes,Cell_01_0108_SpTimes,Cell_01_0110_SpTimes,,Cell_01_0112_SpTimes,Cell_01_0114_SpTimes,Cell_01_0115_SpTimes,Cell_01_0116_SpTimes,Cell_01_0117_SpTimes,Cell_01_0118_SpTimes,Cell_01_0119_SpTimes,Cell_01_0120_SpTimes,,Cell_01_0121_SpTimes,Cell_01_0122_SpTimes,Cell_01_0123_SpTimes,Cell_01_0124_SpTimes,Cell_01_0125_SpTimes,Cell_01_0127_SpTimes,Cell_01_0128_SpTimes,Cell_01_0129_SpTimes,Cell_01_0130_SpTimes
0.932173,0.941375,0.813874,0.994695,0.953086,0.883401,1.06585,0.943397,0.968773,0.970774,,0.340784,0.289925,0.409713,0.316464,0.350003,0.372125,0.385183,0.557683,0.409052,0.584592,,1.0645,1.0123,1.36283,1.36747,1.35145,1.31513,0.980383,1.41719,1.2869,,1.10869,0.846472,0.700831,1.1809,1.51801,1.65133,0.924812,,0.192942,6.32338,0.275299,4.83878,0.21287,,0.276519,0.28522,0.225754,0.298022,0.283943,0.257271,0.316521,,0.4074,0.142545,0.138593,0.45148,0.430572,0.462057,0.163098,0.143108,,0.4292,0.144568,0.415589,0.44,0.440321,0.148167,0.16322,0.471285,0.414767
1.01996,1.03934,0.858346,1.1071,1.04342,0.964579,1.1635,1.03695,1.07435,1.06066,,0.344123,0.30653,0.449299,0.357125,0.387375,0.4094,0.424717,0.631723,0.443539,0.590255,,1.15509,1.11381,1.49475,1.50249,1.49622,1.49102,1.06302,1.51873,1.39076,,1.21264,0.931322,0.790462,1.2751,1.66637,1.70497,0.975763,,0.213105,6.34919,0.302401,4.86213,0.234579,,0.303129,0.312376,0.254771,0.326853,0.311015,0.283213,0.345969,,0.452566,0.160242,0.140563,0.453182,0.474957,0.504838,0.183762,0.155291,,0.465773,0.157644,0.453702,0.476524,0.488357,0.165595,0.170466,0.519096,0.454674
1.10713,1.12339,0.887153,1.20151,1.13423,1.0522,1.26765,1.12771,1.16998,1.14277,,0.378017,0.341581,0.483481,0.398319,0.42704,0.446306,0.461582,0.667924,0.45495,0.617001,,1.32955,1.2167,1.62705,1.58576,1.60518,1.60258,1.25774,1.59265,1.50284,,1.30927,1.00125,0.860075,1.40177,1.77748,1.89937,1.04869,,0.271613,6.36875,0.329838,4.88843,0.286166,,0.327919,0.341307,0.28047,0.351748,0.338537,0.28635,0.373081,,0.49537,0.162264,0.158697,0.47265,0.51305,0.555344,0.187701,0.166784,,0.505872,0.180807,0.497024,0.48672,0.533798,0.189979,0.18113,0.559562,0.48669
1.18448,1.20775,0.9628,1.27988,1.22736,1.12089,1.35957,1.21029,1.25817,1.21873,,0.414138,0.374124,0.521475,0.436338,0.503244,0.484051,0.500012,0.705958,0.514084,0.648439,,1.4348,1.34037,1.72728,1.68701,1.74936,1.69874,1.36702,1.65767,1.64553,,2.88369,1.15384,0.95511,1.46697,1.86843,2.05209,1.09476,,0.290604,6.3909,0.357313,4.91657,0.305349,,0.353426,0.369066,0.307139,0.377904,0.363967,0.314687,0.399697,,0.540047,0.179246,0.176731,0.490276,0.555444,0.601359,0.207059,0.181074,,0.556098,0.186114,0.542711,0.531567,0.576937,0.204735,0.203999,0.567475,0.498274
1.2738,1.29502,1.05665,1.44354,1.31746,1.19558,1.46311,1.28001,1.32798,1.29113,,0.447158,0.409384,0.557684,0.474849,0.540951,0.52065,0.537631,0.74425,0.546722,0.681249,,1.52239,1.46097,1.80349,1.80913,1.83564,1.84191,1.53744,1.72786,1.76344,,3.09659,1.23205,1.03649,1.58852,2.06917,2.17587,1.16466,,0.310025,6.46982,0.383659,4.93646,0.370009,,0.378179,0.394735,0.332862,0.406296,0.37064,0.344105,0.408638,,0.583383,0.199327,0.179948,0.528195,0.595907,0.640268,0.227486,0.192181,,0.591919,0.194995,0.578686,0.576643,0.622422,0.214321,0.209579,0.616706,0.545573
1.36887,1.38425,1.13722,1.52834,1.40168,1.28941,1.55882,1.3706,1.4254,1.47668,,0.484697,0.445271,0.564379,0.512082,0.578981,0.558041,0.612111,0.856338,0.583863,0.748846,,1.65975,1.63578,1.91456,1.95347,1.95494,1.92827,1.66888,1.80725,1.88699,,3.25016,1.30395,1.16655,1.63306,2.15748,2.25475,1.26101,,0.330976,6.49152,0.404214,4.95991,0.393249,,0.406532,0.420701,0.359068,0.433879,0.389325,0.372134,0.432643,,0.629374,0.207688,0.188664,0.53865,0.644186,0.683968,0.232966,0.203926,,0.635127,0.217145,0.624145,0.613957,0.665155,0.243121,0.227404,0.665528,0.550221
1.46374,1.47359,1.21491,1.63284,1.49394,1.38061,1.65896,1.46125,1.51882,1.57102,,0.518,0.472383,0.595821,0.551799,0.654055,0.59594,0.646971,0.930074,0.620089,0.81804,,1.73265,1.77909,2.00815,2.35268,2.11472,2.01907,1.81893,1.88687,1.9804,,3.40636,1.35954,1.21631,1.70915,2.2266,2.33535,1.3118,,0.346653,6.51289,0.430677,4.98067,0.415319,,0.432209,0.448878,0.386135,0.462322,0.4163,0.399851,0.461369,,0.67563,0.216907,0.207851,0.568059,0.683022,0.729809,0.246281,0.231946,,0.676343,0.230335,0.665058,0.621034,0.716686,0.250262,0.244412,0.709572,0.571457
1.55138,1.56862,1.25133,1.72847,1.56893,1.46783,1.74438,1.55269,1.60771,1.66876,,0.559193,0.480456,0.635165,0.591135,0.690588,0.634456,0.725867,1.0046,0.689592,0.853296,,1.82074,1.86519,2.09266,2.4969,2.20932,2.16978,1.90065,1.96646,2.08062,,3.57896,1.41099,1.32337,1.77884,2.2735,2.39198,1.36772,,0.36349,6.53756,0.459258,5.0067,0.436725,,0.459253,0.474314,0.413719,0.490592,0.448335,0.431346,0.490201,,0.695515,0.23305,0.220046,0.609505,0.724859,0.771808,0.267797,0.236861,,0.710698,0.236583,0.709109,0.65276,0.765544,0.260817,0.246383,0.759606,0.585759
1.65891,1.67452,1.27921,1.81497,1.6514,1.53071,1.85178,1.63763,1.71842,1.75418,,0.629485,0.516398,0.670322,0.629827,0.728658,0.672008,0.764408,1.11066,0.726522,0.917976,,1.90238,1.97252,2.17502,2.58291,2.33546,2.46695,1.97763,2.09638,2.2004,,3.65364,1.47008,1.38042,1.83408,2.34107,2.45956,1.45418,,0.380939,6.55883,0.486095,5.03805,0.455878,,0.48481,0.501724,0.439998,0.515045,0.472767,0.460078,0.520379,,0.723629,0.254878,0.227926,0.641242,0.76263,0.808958,0.273114,0.252272,,0.75385,0.253282,0.751845,0.692152,0.811188,0.287802,0.252403,0.805337,0.629649
1.75803,1.85492,1.31584,1.99642,1.73291,1.62345,1.94389,1.72382,1.81161,1.85847,,0.661757,0.557488,0.706965,0.639177,0.764679,0.708916,0.838309,1.21078,0.761695,0.949242,,2.01973,2.07115,2.29028,2.68922,2.41768,2.55901,2.0427,2.37497,2.27941,,3.74042,1.54963,1.44481,1.91745,2.38727,2.61142,1.5486,,0.397197,6.58272,0.503631,5.0636,0.478653,,0.509166,0.525963,0.467407,0.544345,0.504314,0.486452,0.548217,,0.765511,0.274482,0.24603,0.650164,0.804234,0.851122,0.283291,0.270226,,0.790539,0.268928,0.794753,0.732914,0.857231,0.291344,0.263419,0.808501,0.669754
